Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFLOWERCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,35,1.2,2.2,1,1,0.2,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.01,0.01,1,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFLOWERCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,35,0.6,1,1,1,0,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.01,0.01,1,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFLOWERCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,35,1,1.7,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.004,0.002,1,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFLOWERCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,35,0.8,1.2,1,1,0,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.025,0.025,1,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFURRYCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.4,1.2,1,1,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.09,0.09,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFURRYCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.4,1.2,1,1,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.09,0.09,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/LARGECORALSAND.SCENE.MBIN,FLORACLUMP,-1,128,0,40,1.5,3.5,1,1,0,15,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.005,0.003,1,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/LARGECORALSAND.SCENE.MBIN,JAMESPATCH,-1,128,0,40,3.5,6,0.9,1.1,0.8,15,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.005,0.005,1,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/MEDIUMCORALSAND.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1.5,3,0.8,1.2,0.8,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.01,0.005,2,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/MEDIUMCORALSAND.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1.5,3,0.8,1.2,0.8,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.01,0.005,2,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.25,0.9,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.25,0.9,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,SMALLCLUMP,-1,128,0,35,1,1,1.4,1.8,1,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.1,0.1,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.25,0.9,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSPROC.SCENE.MBIN,JAMESPATCH,-1,128,0,35,0.8,1.5,1,1.5,0,0,180,0,0,FALSE,TRUE,FALSE,FALSE,0.3,0.1,0.08,0.5,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSPROC.SCENE.MBIN,FLORACLUMP,-1,128,0,35,0.8,1.5,1,1.5,0,0,180,0,0,FALSE,TRUE,FALSE,FALSE,0.2,0.1,0.1,0.5,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSPROC.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.25,0.9,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSPROC.SCENE.MBIN,SMALLCLUMP,-1,128,0,35,1,1,1.4,1.8,1,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.1,0.1,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSSMALL.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,1,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.3,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSSMALL.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,1,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.3,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSSMALL.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,1,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.3,0.6,0.6,1,DetailObjects
