Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/BUTTERCUP.SCENE.MBIN,BLANKETCLUMP,-1,128,0,30,0.9,1.2,1,1,0.5,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.5,0.018,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/SCABIOUS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,1,1.3,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.1,0.1,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/YARROW.SCENE.MBIN,FLORACLUMP,-1,128,0,39,1,1.5,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.1,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,180,0.8,1.5,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,1,0.7,0,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,180,0.8,1.5,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,1,0.7,0,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,180,0.5,0.9,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.3,0.2,0,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,180,0.5,0.9,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.6,0.3,0,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,180,0.6,1,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.9,0.3,0,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,0.6,0.8,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.12,0.15,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,FLORACLUMP,-1,128,0,39,0.6,0.8,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.21,0.15,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,0.3,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.12,0.15,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,FLORACLUMP,-1,128,0,39,0.3,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.21,0.15,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,0.2,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.12,0.15,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,FLORACLUMP,-1,128,0,39,0.2,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.21,0.15,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,0.6,0.8,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.12,0.15,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,FLORACLUMP,-1,128,0,39,0.6,0.8,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.21,0.15,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,0.3,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.12,0.15,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,FLORACLUMP,-1,128,0,39,0.3,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.21,0.15,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/PLANTS/FERN.SCENE.MBIN,BLANKETCLUMP,-1,128,0,37,0.9,1.1,1,1,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.09,0.07,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/PLANTS/FERN.SCENE.MBIN,FLORACLUMP,-1,128,0,38,0.9,1.1,1,1,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.16,0.02,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/PLANTS/LARGEPLANT.SCENE.MBIN,FORESX,-1,128,0,45,1.3,1.8,1,1,0.5,6,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.0045,0,4,Objects
Instanced,MODELS/PLANETS/BIOMES/COMMON/PLANTS/LARGEPLANT.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.5,1.2,1,1,0.2,10,180,0,0,TRUE,TRUE,FALSE,FALSE,0.14,0.015,0,4,Objects
Instanced,MODELS/PLANETS/BIOMES/COMMON/PLANTS/LARGEPLANT.SCENE.MBIN,FOREST,-1,128,0,45,0.6,1,1,1,0.5,6,180,0,0,TRUE,TRUE,FALSE,FALSE,0.14,0.0045,0,4,Objects
