Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.6,0.8,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.17,0.78,0.78,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,50,1.1,1.3,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.22,0.7,0.7,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/VOLUMEBUSH.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,185,0.8,1.3,1,1,0.3,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.15,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,50,0.4,1,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.12,0.215,0.2159,1,DetailObjects
MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.4,0.8,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.15,0.1,0.1,1,DetailObjects
MODELS/PLANETS/BIOMES/COMMON/ROCKS/SMALL/FRAGMENTS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,50,0.5,1,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.65,0.05,0.05,1,DetailObjects
MODELS/PLANETS/BIOMES/LAVA/LARGEPROPS/DEADTREE.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,60,1.7,4,1,1,0,6,180,0,0,TRUE,TRUE,FALSE,FALSE,0.16,0.029,0.029,1,Landmarks
MODELS/PLANETS/BIOMES/LAVA/LARGEPROPS/DEADTREEFLAMING.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,60,2.5,4,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.16,0.001,0.001,0,Landmarks
MODELS/PLANETS/BIOMES/LAVA/LARGEPROPS/LARGESHARDINACTIVE01.SCENE.MBIN,FLORACLUMP,-1,128,0,60,1.7,4,1,1,0,6,180,0,0,FALSE,FALSE,FALSE,FALSE,0.05,0.017,0.017,1,Landmarks
MODELS/PLANETS/BIOMES/LAVA/LARGEPROPS/LARGESHARDINACTIVE01.SCENE.MBIN,FLORACLUMP,-1,128,0,60,1.7,4,1,1,0,6,180,0,0,FALSE,FALSE,FALSE,FALSE,0.05,0.017,0.017,1,Landmarks
