Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/LARGECORALSAND.SCENE.MBIN,FLORACLUMP,-1,128,0,40,1.5,3.5,1,1,0,15,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.005,0.003,1,Landmarks
MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/LARGECORALSAND.SCENE.MBIN,JAMESPATCH,-1,128,0,40,3.5,6,1,1,0.8,15,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.005,0.005,1,Landmarks
MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/MEDIUMCORALSAND.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1.5,3,0.8,1.2,0.8,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.01,0.005,2,Objects
MODELS/PLANETS/BIOMES/BARREN/HQ/CORAL/MEDIUMCORALSAND.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1.5,3,0.8,1.2,0.8,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.01,0.005,2,Objects
MODELS/PLANETS/BIOMES/BARREN/HQ/SMALLROCK.SCENE.MBIN,JAMESPATCH,-1,128,0,35,0.2,0.4,0.6,1.2,1,25,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.03,0.01,1.2,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.8,1.5,1,1.2,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.4,0.02,0.02,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1,1.2,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.15,0.05,0.05,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,GRASSCLUMP,-1,128,0,40,1,1.2,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.08,0.15,0.15,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,BARRENROCKCLUMP,-1,128,0,55,1,1.5,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.2,0.2,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.05,0.1,0.1,1,DetailObjects
MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBBUSH.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,0.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.08,0.2,0.2,1,DetailObjects
