Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Single,MODELS/EFFECTS/HEAVYAIR/BUBBLES/BUBBLES.SCENE.MBIN,BLANKETCLUMPX,-1,128,0,60,1,1,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.14,0.005,0.005,1,Objects
Single,MODELS/EFFECTS/HEAVYAIR/STONEFRAGMENTS/STONEFRAGMENTS.SCENE.MBIN,FLORACLUMP,-1,128,0,180,1,1,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.01,0.01,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,JAMESPATCH,-1,128,0,45,0.3,0.8,1,1,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.5,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,FLORACLUMP,-1,128,0,45,0.3,0.8,1,1,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.5,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/GROUNDFLOWER.SCENE.MBIN,FLORACLUMP,-1,128,0,39,1.2,1.6,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.3,0.3,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,JAMESPATCH,-1,128,0,40,1,1,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.5,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,GRASS,-1,128,0,30,0.8,1.3,0.6,0.8,0.4,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.008,0.004,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,GRASS,-1,128,0,30,0.8,1.3,0.6,0.8,0.4,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.008,0.004,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,GRASS,-1,128,0,30,0.8,1.3,0.6,0.8,0.4,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.008,0.004,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,30,0.8,1.3,0.6,0.8,0.4,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.008,0.004,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/SCRUBGRASS.SCENE.MBIN,GRASS,-1,128,0,30,0.8,1.3,0.6,0.8,0.4,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.008,0.004,2.8,DetailObjects
