Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,SMALLCLUMP,-1,128,0,45,1.5,2.5,1,1.5,0.4,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.003,0.003,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,SPARSECLUMP,-1,128,0,35,1.2,1.5,1.2,1.8,0.5,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.3,0.01,0.01,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,BLANKETCLUMP,-1,128,0,60,0.8,1.2,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.45,0.05,0.05,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,BLANKETCLUMP,-1,128,0,35,1,2,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.01,0.01,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,FOREST,-1,128,0,40,1.2,1.5,1.5,1.7,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.07,0.04,0.02,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/PLANTS/GROUNDFLOWER.SCENE.MBIN,GRASSCLUMP,-1,128,0,40,1.3,1.5,1.5,1.7,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.07,0.02,0.02,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/DETAIL/BURNTTALLGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.4,0.8,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.15,0.1,0.1,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/DETAIL/BURNTTALLGRASS.SCENE.MBIN,JAMESPATCH,-1,128,0,45,0.3,0.8,1,1.5,0.5,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.25,0.05,0.05,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/DETAIL/TINYROCKS.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.7,1.4,1,1,0.3,20,360,0,0,FALSE,TRUE,FALSE,FALSE,0.4,0.07,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/HUGE/HUGETREE.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.7,1.4,1,1,0.2,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.18,0,3,DistantObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/LARGE/LARGEPLANT.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.8,1.5,1,1,0.3,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.0028,0.001,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/LARGE/LARGEPLANT.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.8,1.5,1,1,0.3,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.28,0.001,0,3,Objects
Instanced,MODELS/PLANETS/BIOMES/BURNT/LARGE/LARGEROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.7,1.6,1,1,0.3,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.22,0.032,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/LARGE/LARGEROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.7,1.6,1,1,0.3,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.01,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/LARGE/LARGETREE.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,1,1.6,1,1,0.3,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.16,0.035,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/MEDIUM/MEDIUMPLANT.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.8,1,1,1,0.2,20,360,0,0,TRUE,TRUE,FALSE,FALSE,0.23,0.04,0,3,Objects
Instanced,MODELS/PLANETS/BIOMES/BURNT/MEDIUM/MEDIUMPLANT.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.8,1,1,1,0.2,20,360,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.02,0,3,Objects
Instanced,MODELS/PLANETS/BIOMES/BURNT/MEDIUM/MEDIUMROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.8,2,1,1,0.3,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.28,0.016,0,3,Objects
Single,MODELS/PLANETS/BIOMES/BURNT/RARE/RARELARGE.SCENE.MBIN,SPARSECLUMP,-1,128,0,90,0.8,1.8,1,1,0,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.05,0.01,0,3,DistantObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/SMALL/SMALLROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.8,1.3,1,1,0.3,20,360,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.02,0,3,Objects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/BUTTERCUP.SCENE.MBIN,BLANKETCLUMP,-1,128,0,30,0.9,1.2,1,1,0.5,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.3,0.018,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/BUTTERCUP.SCENE.MBIN,GRASS,-1,128,0,25,0.8,3,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.01,0.05,0.01,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/BUTTERCUP.SCENE.MBIN,GRASS,-1,128,0,25,2,3,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.7,0.002,0.002,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/BUTTERCUP.SCENE.MBIN,BLANKETCLUMP,-1,128,0,30,0.9,1.2,1,1,0.5,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.012,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/BUTTERCUP.SCENE.MBIN,GRASS,-1,128,0,30,1.1,1.7,1,1,0.5,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.07,0.015,0,2,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/SCABIOUS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,38,0.9,1.1,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.1,0.1,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/SCABIOUS.SCENE.MBIN,GRASS,-1,128,0,38,0.9,1.4,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.7,0.002,0.002,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/SCABIOUS.SCENE.MBIN,GRASS,-1,128,0,40,2,3,1,1.2,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.4,0.004,0.002,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/SCABIOUS.SCENE.MBIN,FLORACLUMP,-1,128,0,38,1.5,3,1,1,0.3,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.02,0.005,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/SCABIOUS.SCENE.MBIN,FLORACLUMP,-1,128,0,38,1.5,3,1,1,0.2,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.1,0.01,0.01,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/YARROW.SCENE.MBIN,FLORACLUMP,-1,128,0,39,1,1.3,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.2,0.1,0,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/YARROW.SCENE.MBIN,GRASS,-1,128,0,38,1,1.3,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.7,0.002,0.002,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/YARROW.SCENE.MBIN,FLORACLUMP,-1,128,0,39,1,1.5,1,1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.15,0.02,0.02,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/YARROW.SCENE.MBIN,SPARSECLUMP,-1,128,0,39,1.5,2,1,1.1,0.1,0,180,0,0,TRUE,TRUE,FALSE,TRUE,0.1,0.01,0.01,3,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/FLOWERS/YARROW.SCENE.MBIN,GRASS,-1,128,0,37,1.1,1.7,1,1.3,0,8,180,0,0,TRUE,TRUE,FALSE,FALSE,0.07,0.002,0.002,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,25,0.8,1.3,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,1,0.05,0.2,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWCROSSGRASS.SCENE.MBIN,GRASS,-1,128,0,45,1.5,2,0.6,0.8,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.8,0.4,0.25,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWLUSHGRASS.SCENE.MBIN,GRASS,-1,128,0,45,2,2.5,1,1,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.8,0.4,0.25,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/NEWLUSHGRASS.SCENE.MBIN,GRASS,-1,128,0,55,0.8,1.5,1,1.7,0,0,180,0,0,TRUE,TRUE,FALSE,FALSE,1,0.7,0.7,2.8,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/COMMON/GRASS/TALLGRASSBILLBOARD.SCENE.MBIN,BARRENGRASSCLUM,-1,128,0,35,1,1.4,1,1.3,0.95,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.3,0.06,0.06,3,Objects
