Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/ANEMPLANT.SCENE.MBIN,FLORACLUMP,-200,-20,0,40,0.8,1.2,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.7,0.002,0.002,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/ANEMSTALK.SCENE.MBIN,FLORACLUMP,-200,-20,0,40,0.8,1.2,1,1,0.5,0,180,0,0,TRUE,TRUE,FALSE,FALSE,0.6,0.0015,0.0015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/GLOBPLANT.SCENE.MBIN,FLORACLUMP,-200,-18,0,45,0.8,1.2,1,1,0.5,2,180,0,0,TRUE,TRUE,FALSE,FALSE,0.4,0.005,0.005,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/GLOBPLANT.SCENE.MBIN,FLORACLUMP,-200,-18,0,45,0.6,0.9,1,1,0.5,2,180,0,0,TRUE,TRUE,FALSE,FALSE,0.5,0.005,0.005,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/PAGODAFLAP.SCENE.MBIN,FLORACLUMP,-200,-20,0,40,0.8,1.2,1,1,0.5,10,180,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.006,0.006,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/STEMCORAL.SCENE.MBIN,FLORACLUMP,-200,-18,0,35,0.8,1.2,1,1,0.5,2,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.008,0.008,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/TWISTPETAL.SCENE.MBIN,JAMESPATCH,-200,-20,0,40,3,3.5,1,1,0.5,10,180,0,0,TRUE,TRUE,FALSE,FALSE,0.1,0.02,0.02,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/LARGE/TWISTPETAL.SCENE.MBIN,JAMESPATCH,-200,-20,0,40,1.6,2.2,1,1,0.5,10,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTAL.SCENE.MBIN,ROCKCLUMP,-1600,-200,0,45,0.6,1.2,1,1,0,30,180,0,0,TRUE,TRUE,FALSE,FALSE,0.2,0.01,0.01,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTAL.SCENE.MBIN,ROCKCLUMP,-1600,-200,0,45,1.2,2,1,1,0,30,180,0,0,TRUE,TRUE,FALSE,FALSE,0.12,0.01,0.01,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTAL.SCENE.MBIN,ROCKCLUMP,-200,-18,0,45,0.5,0.8,1,1,1,30,180,0,0,TRUE,TRUE,FALSE,FALSE,0.4,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTAL.SCENE.MBIN,BLANKETCLUMP,-200,-18,0,45,1,1.2,1,1,1,30,180,0,0,TRUE,TRUE,FALSE,FALSE,0.1,0.05,0.05,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTALFLOATING.SCENE.MBIN,BLANKETCLUMP,-400,-200,0,180,1,1,1,1,0,90,180,100,-40,TRUE,TRUE,FALSE,FALSE,0.1,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTALFLOATING.SCENE.MBIN,BLANKETCLUMP,-600,-400,0,180,1,1,1,1,0,90,180,300,-40,TRUE,TRUE,FALSE,FALSE,0.1,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTALFLOATING.SCENE.MBIN,BLANKETCLUMP,-800,-600,0,180,1,1,1,1,0,90,180,500,-40,TRUE,TRUE,FALSE,FALSE,0.1,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTALFLOATING.SCENE.MBIN,BLANKETCLUMP,-1000,-800,0,180,1,1,1,1,0,90,180,700,-40,TRUE,TRUE,FALSE,FALSE,0.1,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTALFLOATING.SCENE.MBIN,BLANKETCLUMP,-1600,-1000,0,180,1,1,1,1,0,90,180,900,-40,TRUE,TRUE,FALSE,FALSE,0.1,0.015,0.015,1,Objects
Instanced,MODELS/PLANETS/BIOMES/UNDERWATER/DEEPWATER/MEDIUM/DEEPCRYSTALFLOATING.SCENE.MBIN,BLANKETCLUMP,-400,-200,0,180,1,1,1,1,0,0,180,100,-40,TRUE,TRUE,FALSE,FALSE,0.1,0.015,0.015,1,Objects
