Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/BURNTREMIXTALLGRASS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.4,0.8,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.15,0.1,0.1,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/BURNTREMIXTALLGRASS.SCENE.MBIN,JAMESPATCH,-1,128,0,45,0.3,0.8,1,1.5,0.5,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.25,0.05,0.05,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/HUGETREE.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.7,1.4,1,1,0.2,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.13,0.12,0,3,DistantObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/LARGEROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.7,1.6,1,1,0.3,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.22,0.032,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/LARGETREE.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,1,1.6,1,1,0.3,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.001,0.001,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/LARGETREE.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,1,1.6,1,1,0.3,3,360,0,0,TRUE,TRUE,FALSE,FALSE,0.16,0.035,0,3,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/MEDIUMPLANT.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.8,1,1,1,0.2,20,360,0,0,TRUE,TRUE,FALSE,FALSE,0.23,0.04,0,3,Objects
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/MEDIUMPLANT.SCENE.MBIN,LEVILARGEPATCH,-1,128,0,90,0.8,1,1,1,0.2,20,360,0,0,TRUE,TRUE,FALSE,FALSE,0.15,0.02,0,3,Objects
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/MEDIUMROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.8,2,1,1,0.3,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.28,0.016,0,3,Objects
Single,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/RARE.SCENE.MBIN,SPARSECLUMP,-1,128,0,90,0.8,1.8,1,1,0,0,360,0,0,TRUE,TRUE,FALSE,FALSE,0.5,0.0005,0,3,DistantObjects
Instanced,MODELS/PLANETS/BIOMES/BURNT/BURNTREMIX/SMALLROCK.SCENE.MBIN,ROCKCLUMP,-1,128,0,90,0.8,1.3,1,1,0.3,20,360,0,0,TRUE,TRUE,FALSE,FALSE,0.35,0.02,0,3,Objects
