Type,Filename,Placement,MinHeight,MaxHeight,MinAngle,MaxAngle,MinScale,MaxScale,MinScaleY,MaxScaleY,PatchEdgeScaling,MaxXZRotation,MaxYRotation,MaxRaise,MaxLower,DestroyedByPlayerShip,DestroyedByTerrainEdit,IsFloatingIsland,CreaturesCanEat,Coverage,FlatDensity,SlopeDensity,SlopeMultiplier,DrawDistance
Single,MODELS/EFFECTS/HEAVYAIR/BUBBLES/BUBBLES.SCENE.MBIN,BLANKETCLUMP,-1,128,0,60,1,1,1,1,0,0,180,0,0,FALSE,TRUE,FALSE,FALSE,0.14,0.005,0.005,1,Objects
Single,MODELS/EFFECTS/HEAVYAIR/STONEFRAGMENTS/STONEFRAGMENTS.SCENE.MBIN,BLANKETCLUMP,-1,128,0,180,1,1,1,1,0,0,180,0,0,FALSE,TRUE,FALSE,FALSE,0.15,0.01,0.01,3,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFLOWERCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,35,1,1.7,1,1,0,0,180,0,0,FALSE,TRUE,FALSE,FALSE,0.2,0.004,0.002,1,Landmarks
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFLOWERCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,35,0.8,1.2,1,1,0,5,180,0,0,TRUE,TRUE,FALSE,FALSE,0.25,0.025,0.025,1,Objects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/CACTUS/HQFURRYCACTUS.SCENE.MBIN,FLORACLUMP,-1,128,0,40,0.4,1.2,1,1,0,8,180,0,0,FALSE,TRUE,FALSE,FALSE,0.15,0.09,0.09,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSLARGE.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.25,0.9,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.2,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/BARRENGRASSSMALL.SCENE.MBIN,BLANKETCLUMP,-1,128,0,40,0.4,1,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.3,0.6,0.6,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/MEDIUMPLANT.SCENE.MBIN,ROCKCLUMP,-1,128,0,40,1,2,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.1,0.015,0.015,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/POOFBUSH.SCENE.MBIN,FLORACLUMP,-1,128,0,60,1,1.2,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,FALSE,0.08,0.1,0.1,1,DetailObjects
Instanced,MODELS/PLANETS/BIOMES/BARREN/HQ/FOLIAGE/YUKKA.SCENE.MBIN,ROCKCLUMP,-1,128,0,40,1,1.5,1,1,0.1,0,180,0,0,FALSE,TRUE,FALSE,TRUE,0.15,0.015,0.015,1,DetailObjects
